Timestamp (ms),X: (m/s^2),Y: (m/s^2),Z: (m/s^2)
77654,-1.131845,-9.332341,3.084459, 
77659,-1.172525,-9.298841,3.089244, 
77664,-1.184489,-9.416093,3.077280, 
77668,-1.172525,-9.327556,3.043779, 
77673,-1.174918,-9.320377,3.065315, 
77678,-1.162953,-9.346699,3.015064, 
77683,-1.186882,-9.296448,3.043779, 
77688,-1.189275,-9.325163,3.041386, 
77693,-1.179704,-9.346699,3.079673, 
77698,-1.198847,-9.361056,3.050958, 
77703,-1.206026,-9.327556,3.101209, 
77708,-1.203633,-9.317985,3.079673, 
77712,-1.165346,-9.365842,3.096423, 
77716,-1.155775,-9.361056,3.113173, 
77721,-1.162953,-9.310805,3.082066, 
77726,-1.136631,-9.337128,3.043779, 
77731,-1.155775,-9.382592,3.113173, 
77736,-1.107916,-9.380199,3.120352, 
77741,-1.124667,-9.432844,3.089244, 
77746,-1.129453,-9.492666,3.120352, 
77751,-1.117488,-9.447201,3.117959, 
77756,-1.127060,-9.471130,3.129924, 
77761,-1.119881,-9.475916,3.113173, 
77766,-1.076809,-9.511809,3.149067, 
77771,-1.060058,-9.533346,3.139495, 
77776,-1.028950,-9.497452,3.146674, 
77781,-1.110309,-9.552489,3.115566, 
77786,-1.081594,-9.540524,3.120352, 
77791,-1.005021,-9.483095,3.139495, 
77796,-0.993057,-9.478309,3.122745, 
77800,-1.005021,-9.475916,3.146674, 
77804,-0.940413,-9.507024,3.151460, 
77808,-0.885376,-9.499846,3.170603, 
77813,-0.921270,-9.569240,3.180175, 
77818,-0.899733,-9.559668,3.161031, 
77823,-0.818375,-9.497452,3.163424, 
77828,-0.787267,-9.540524,3.144281, 
77833,-0.815982,-9.518989,3.110780, 
77838,-0.827946,-9.545310,3.077280, 
77843,-0.825553,-9.514202,3.060529, 
77847,-0.825553,-9.545310,3.043779, 
77852,-0.775302,-9.562060,3.077280, 
77857,-0.732230,-9.552489,3.029422, 
77862,-0.729837,-9.569240,3.062922, 
77867,-0.804017,-9.619491,3.089244, 
77872,-0.765731,-9.566847,3.055744, 
77877,-0.753766,-9.471130,3.074887, 
77882,-0.751373,-9.530953,3.091637, 
77887,-0.744194,-9.530953,3.129924, 
77891,-0.739409,-9.566847,3.129924, 
77895,-0.670014,-9.530953,3.127531, 
77900,-0.660443,-9.533346,3.110780, 
77905,-0.722658,-9.511809,3.108388, 
77910,-0.677193,-9.504631,3.091637, 
77915,-0.600620,-9.516596,3.067708, 
77920,-0.617370,-9.487881,3.060529, 
77925,-0.610192,-9.511809,3.038993, 
77930,-0.593441,-9.454380,3.019850, 
77935,-0.581477,-9.451987,2.995921, 
77939,-0.614977,-9.423272,2.943277, 
77944,-0.533619,-9.487881,2.986349, 
77949,-0.603013,-9.480701,2.931312, 
77954,-0.583870,-9.478309,2.969599, 
77959,-0.567119,-9.478309,2.943277, 
77964,-0.605406,-9.473523,2.936098, 
77969,-0.598227,-9.523774,2.907383, 
77974,-0.624549,-9.518989,2.857132, 
77979,-0.595834,-9.521381,2.900205, 
77983,-0.610192,-9.526167,2.907383, 
77987,-0.559941,-9.533346,2.912169, 
77992,-0.591048,-9.502238,2.916955, 
77997,-0.562333,-9.574025,2.952849, 
78002,-0.502511,-9.542917,2.902597, 
78007,-0.583870,-9.530953,2.931312, 
78012,-0.540797,-9.523774,2.883454, 
78017,-0.547976,-9.581204,2.876276, 
78022,-0.504904,-9.547704,2.826025, 
78027,-0.555155,-9.545310,2.926527, 
78032,-0.555155,-9.574025,2.909776, 
78037,-0.571905,-9.569240,2.919348, 
78042,-0.564726,-9.564454,2.909776, 
78047,-0.555155,-9.535739,2.981564, 
78052,-0.507297,-9.535739,2.928920, 
78057,-0.545583,-9.614705,2.969599, 
78062,-0.559941,-9.574025,2.998314, 
78067,-0.555155,-9.614705,2.998314, 
78072,-0.555155,-9.571632,3.055744, 
78077,-0.550369,-9.576418,3.046172, 
78082,-0.538404,-9.574025,3.079673, 
78087,-0.593441,-9.600348,3.050958, 
78092,-0.619763,-9.559668,3.048565, 
78097,-0.655657,-9.619491,3.072494, 
78102,-0.638906,-9.566847,3.094030, 
78106,-0.600620,-9.612311,3.101209, 
78110,-0.607799,-9.571632,3.046172, 
78115,-0.655657,-9.557275,3.050958, 
78120,-0.672407,-9.550097,3.110780, 
78125,-0.665228,-9.542917,3.084459, 
78130,-0.715479,-9.545310,3.172996, 
78135,-0.681979,-9.593168,3.153853, 
78140,-0.703515,-9.600348,3.120352, 
78145,-0.672407,-9.593168,3.082066, 
78150,-0.722658,-9.602740,3.098816, 
78155,-0.741802,-9.602740,3.101209, 
78160,-0.727444,-9.633848,3.122745, 
78165,-0.710694,-9.636241,3.122745, 
78170,-0.737016,-9.605133,3.098816, 
78175,-0.708301,-9.621883,3.091637, 
78180,-0.693943,-9.576418,3.084459, 
78185,-0.751373,-9.624276,3.072494, 
78190,-0.770516,-9.619491,3.108388, 
78195,-0.746587,-9.597955,3.098816, 
78200,-0.794446,-9.557275,3.077280, 
78204,-0.801624,-9.569240,3.065315, 
78208,-0.813589,-9.511809,3.115566, 
78213,-0.849482,-9.552489,3.105995, 
78218,-0.794446,-9.554882,3.139495, 
78223,-0.823160,-9.538132,3.122745, 
78228,-0.837518,-9.619491,3.141888, 
